ark_id,url,title,collection,room,current_location,is_on_display,artist_name,artist_wikidata,height_cm,width_cm,materials_and_techniques,place_of_creation,provenance,acquisition_mode,acquisition_year,start_year,end_year,tags,tag_count,is_mnr,creation_year,painting_age,years_in_collection,area_cm2,has_known_artist,area_quartile,collection_age_band,acquisition_type_en
cl010052618,https://collections.louvre.fr/ark:/53355/cl010052618,Vierge à l'Enfant,Département des Peintures,,"Castres (France), Musée Goya, salle d'exposition",0,Anonyme,Q4233718,,,bois,,,don,1929.0,1500.0,1600.0,,0,False,1550.0,476.0,97.0,,0,,81-100,Gift
cl010052619,https://collections.louvre.fr/ark:/53355/cl010052619,"Portrait de Marie Barbola, naine de la cour de Philippe IV",Département des Peintures,,"Auch (France), Musée des Amériques",0,Anonyme,Q4233718,,,toile,,,legs,1869.0,1600.0,1700.0,,0,False,1650.0,376.0,157.0,,0,,100+,Bequest
cl010052620,https://collections.louvre.fr/ark:/53355/cl010052620,Nature morte au chou,Département des Peintures,,"Castres (France), Musée Goya, salle d'exposition",0,Anonyme,Q4233718,,,toile,,,achat,1952.0,1630.0,1650.0,,0,False,1640.0,386.0,74.0,,0,,61-80,Purchase
cl010052621,https://collections.louvre.fr/ark:/53355/cl010052621,Personnages dans des ruines,Département des Peintures,,non exposé,0,Anonyme,Q4233718,,,toile,,,attribution par l'office des biens et intérêts privés (MNR),1950.0,1600.0,1700.0,,0,True,1650.0,376.0,76.0,,0,,61-80,MNR Recovery
cl010052625,https://collections.louvre.fr/ark:/53355/cl010052625,Vierge à l'Enfant,Département des Peintures,,"Bagnères-de-Bigorre (France), Musée Salies, salle d'exposition",0,Italie,,,,toile,,,legs,1869.0,1600.0,1700.0,,0,False,1650.0,376.0,157.0,,1,,100+,Bequest
cl010052626,https://collections.louvre.fr/ark:/53355/cl010052626,Mascarade italienne ou L'Arracheur de dents,Département des Peintures,,"Mirande (France), Musée des Beaux-Arts, salle d'exposition",0,"Cerquozzi, Michelangelo",Q979862,,,toile,,,ancienne collection,1682.0,1600.0,1700.0,,0,False,1650.0,376.0,344.0,,1,,100+,Historic Collection
cl010052627,https://collections.louvre.fr/ark:/53355/cl010052627,Loth et ses filles,Département des Peintures,,"Auch (France), Musée des Amériques",0,"Franceschini, Baldassare da Voltera",Q2403504,,,toile,,,legs,1869.0,1600.0,1700.0,,0,False,1650.0,376.0,157.0,,1,,100+,Bequest
cl010052628,https://collections.louvre.fr/ark:/53355/cl010052628,L'Institution du Rosaire,Département des Peintures,,non exposé,0,Italie,,,,toile,,,legs,1914.0,1600.0,1700.0,,0,False,1650.0,376.0,112.0,,1,,100+,Bequest
cl010052636,https://collections.louvre.fr/ark:/53355/cl010052636,La Vierge et l'Enfant,Département des Peintures,,"Auch (France), Musée des Amériques",0,Anonyme,Q4233718,,,bois,,,achat,,1400.0,1500.0,,0,False,1450.0,576.0,,,0,,,Purchase
cl010052637,https://collections.louvre.fr/ark:/53355/cl010052637,Zacharie en méditation,Département des Peintures,,"Mirande (France), Musée des Beaux-Arts, salle d'exposition",0,"Vignon, Claude",Q591684,,,toile,,,ancienne collection,,1600.0,1700.0,,0,False,1650.0,376.0,,,1,,,Historic Collection
cl010052638,https://collections.louvre.fr/ark:/53355/cl010052638,Tête d'homme,Département des Peintures,,"Mirande (France), Musée des Beaux-Arts",0,Anonyme,Q4233718,,,toile,,,ancienne collection,,1600.0,1700.0,,0,False,1650.0,376.0,,,0,,,Historic Collection
cl010052639,https://collections.louvre.fr/ark:/53355/cl010052639,Tête d'homme,Département des Peintures,,non exposé,0,Anonyme,Q4233718,,,toile,,,legs,1869.0,1600.0,1700.0,,0,False,1650.0,376.0,157.0,,0,,100+,Bequest
cl010052640,https://collections.louvre.fr/ark:/53355/cl010052640,Fleurs et fruits,Département des Peintures,,non exposé,0,Anonyme,Q4233718,,,toile,,,legs,1869.0,1600.0,1700.0,,0,False,1650.0,376.0,157.0,,0,,100+,Bequest
cl010052641,https://collections.louvre.fr/ark:/53355/cl010052641,Saint Thomas de Villeneuve faisant l'aumône,Département des Peintures,,non exposé,0,Anonyme,Q4233718,,,toile,,,achat,1956.0,1600.0,1700.0,,0,False,1650.0,376.0,70.0,,0,,61-80,Purchase
cl010052642,https://collections.louvre.fr/ark:/53355/cl010052642,Portrait équestre du marquis de Leganés,Département des Peintures,,non exposé,0,"Crayer, Gaspard de",Q570172,,,toile,,,attribution par l'office des biens et intérêts privés (MNR),1950.0,1635.0,,,0,True,1635.0,391.0,76.0,,1,,61-80,MNR Recovery
cl010052643,https://collections.louvre.fr/ark:/53355/cl010052643,Orphée charmant les animaux,Département des Peintures,,"Rodez (France), Musée des Beaux-Arts Denys Puech",0,"Keirincx, Alexandre",Q2627622,,,bois,,,attribution par l'office des biens et intérêts privés (MNR),1950.0,1600.0,1700.0,,0,True,1650.0,376.0,76.0,,1,,61-80,MNR Recovery
cl010052644,https://collections.louvre.fr/ark:/53355/cl010052644,Scène de famille,Département des Peintures,,non exposé,0,"Picolet, Cornelis",Q18575617,,,huile sur bois,,,attribution par l'office des biens et intérêts privés (MNR),1951.0,1600.0,1700.0,,0,True,1650.0,376.0,75.0,,1,,61-80,MNR Recovery
cl010052645,https://collections.louvre.fr/ark:/53355/cl010052645,Portrait de jeune fille,Département des Peintures,,non exposé,0,"Santvoort, Pieter van [Dircksz.]",Q420452,,,huile sur bois,,,attribution par l'office des biens et intérêts privés (MNR),1950.0,1600.0,1700.0,,0,True,1650.0,376.0,76.0,,1,,61-80,MNR Recovery
cl010052649,https://collections.louvre.fr/ark:/53355/cl010052649,Intérieur de cabaret,Département des Peintures,,non exposé,0,"Brouwer, Adriaen",Q364139,,,bois,,,legs,1869.0,1600.0,1700.0,,0,False,1650.0,376.0,157.0,,1,,100+,Bequest
cl010052650,https://collections.louvre.fr/ark:/53355/cl010052650,Tête de moine,Département des Peintures,,"Montauban (France), Musée Ingres-Bourdelle, salle d'exposition",0,"Dyck, Antoon van",Q150679,,,toile,,,legs,1869.0,1600.0,1700.0,,0,False,1650.0,376.0,157.0,,1,,100+,Bequest
cl010052651,https://collections.louvre.fr/ark:/53355/cl010052651,Le Christ aux outrages,Département des Peintures,,non exposé,0,Anonyme,Q4233718,,,toile,,,achat,,1600.0,1700.0,,0,False,1650.0,376.0,,,0,,,Purchase
cl010052652,https://collections.louvre.fr/ark:/53355/cl010052652,Portrait d'un peintre,Département des Peintures,,non exposé,0,"Hals, Frans",Q167654,,,toile,,,legs,,1600.0,1700.0,,0,False,1650.0,376.0,,,1,,,Bequest
cl010052653,https://collections.louvre.fr/ark:/53355/cl010052653,Silène et les quatre saisons,Département des Peintures,,non exposé,0,"Jordaens, Jacob",Q270658,,,toile,,,legs,1869.0,1600.0,1700.0,,0,False,1650.0,376.0,157.0,,1,,100+,Bequest
cl010052654,https://collections.louvre.fr/ark:/53355/cl010052654,"Portrait de femme,1631",Département des Peintures,,"Tarbes (France), Musée Massey",0,"Keyser, Thomas de",Q932263,,,bois,,,legs,,1600.0,1700.0,,0,False,1650.0,376.0,,,1,,,Bequest
cl010052655,https://collections.louvre.fr/ark:/53355/cl010052655,La Vocation de saint Matthieu,Département des Peintures,,non exposé,0,"Wautier, Charles",Q18508067,,,toile,,,achat,,1600.0,1700.0,,0,False,1650.0,376.0,,,1,,,Purchase
cl010052656,https://collections.louvre.fr/ark:/53355/cl010052656,Portrait de femme,Département des Peintures,,non exposé,0,"Maes, Nicolaes",Q505150,,,toile,,,legs,1869.0,1600.0,1700.0,,0,False,1650.0,376.0,157.0,,1,,100+,Bequest
cl010052658,https://collections.louvre.fr/ark:/53355/cl010052658,La Chasse au sanglier,Département des Peintures,,non exposé,0,Pays-Bas du Sud,,,,bois,,,legs,1869.0,1600.0,1700.0,,0,False,1650.0,376.0,157.0,,1,,100+,Bequest
cl010052660,https://collections.louvre.fr/ark:/53355/cl010052660,Portrait d'homme vêtu de noir,Département des Peintures,,"Foix (France), Musée départemental de l'Ariège",0,Anonyme,Q4233718,,,bois,,,entrée - Collection de Louis-Philippe,,1600.0,1700.0,,0,False,1650.0,376.0,,,0,,,Other
cl010052661,https://collections.louvre.fr/ark:/53355/cl010052661,Portrait d'un officier espagnol,Département des Peintures,,non exposé,0,Anonyme,Q4233718,,,toile,,,ancienne collection,,1600.0,1700.0,,0,False,1650.0,376.0,,,0,,,Historic Collection
cl010052662,https://collections.louvre.fr/ark:/53355/cl010052662,Paysage,Département des Peintures,,non exposé,0,Anonyme,Q4233718,,,bois,,,versement,,1600.0,1700.0,,0,False,1650.0,376.0,,,0,,,Other
cl010052663,https://collections.louvre.fr/ark:/53355/cl010052663,Apothéose d'un saint. Esquisse de plafond,Département des Peintures,,"Tarbes (France), Musée Massey",0,"Pellegrini, Giovanni Antonio",Q1358364,,,toile,,,legs,1869.0,1723.0,,,0,False,1723.0,303.0,157.0,,1,,100+,Bequest
cl010052664,https://collections.louvre.fr/ark:/53355/cl010052664,Notre-Dame de Lorette,Département des Peintures,,"Auch (France), Musée des Amériques, salle d'exposition",0,Anonyme,Q4233718,,,toile,,,attribution par l'office des biens et intérêts privés (MNR),1951.0,1800.0,1900.0,,0,True,1850.0,176.0,75.0,,0,,61-80,MNR Recovery
cl010052665,https://collections.louvre.fr/ark:/53355/cl010052665,"La Vierge, l'Enfant, saint Sébastien et sainte Ursule",Département des Peintures,,"Toulouse (France), Musée des Augustins, salle d'exposition",0,"Basaiti, Marco",Q918859,,,huile sur bois (peuplier),,,attribution par l'office des biens et intérêts privés (MNR),1950.0,1500.0,1600.0,,0,True,1550.0,476.0,76.0,,1,,61-80,MNR Recovery
cl010052666,https://collections.louvre.fr/ark:/53355/cl010052666,Nativité et Adoration des bergers,Département des Peintures,,non exposé,0,Anonyme,Q4233718,,,bois,,,attribution par l'office des biens et intérêts privés (MNR),1950.0,1500.0,1540.0,,0,True,1520.0,506.0,76.0,,0,,61-80,MNR Recovery
cl010052667,https://collections.louvre.fr/ark:/53355/cl010052667,Personnages sous un portique,Département des Peintures,,non exposé,0,"Codazzi, Niccolo",Q20054825,,,toile,,,attribution par l'office des biens et intérêts privés (MNR),1950.0,1681.0,1682.0,,0,True,1681.5,344.5,76.0,,1,,61-80,MNR Recovery
cl010052668,https://collections.louvre.fr/ark:/53355/cl010052668,La Charité,Département des Peintures,,"Montauban (France), Musée Ingres-Bourdelle, salle d'exposition",0,"Fontebasso, Francesco",Q447991,,,toile,,,attribution par l'office des biens et intérêts privés (MNR),1950.0,1745.0,1750.0,,0,True,1747.5,278.5,76.0,,1,,61-80,MNR Recovery
cl010052669,https://collections.louvre.fr/ark:/53355/cl010052669,Allégorie de la Justice ou Venise trônant,Département des Peintures,,non exposé,0,"Fontebasso, Francesco",Q447991,,,toile,,,attribution par l'office des biens et intérêts privés (MNR),1950.0,1700.0,1800.0,,0,True,1750.0,276.0,76.0,,1,,61-80,MNR Recovery
cl010052671,https://collections.louvre.fr/ark:/53355/cl010052671,Sainte Famille,Département des Peintures,,"Tarbes (France), Musée Massey",0,Girolamo del Pacchia,Q525123,,,bois,,,attribution par l'office des biens et intérêts privés (MNR),1951.0,1500.0,1600.0,,0,True,1550.0,476.0,75.0,,1,,61-80,MNR Recovery
cl010052672,https://collections.louvre.fr/ark:/53355/cl010052672,Scène champêtre (Rébecca à la fontaine),Département des Peintures,,"Cahors (France), Musée de Cahors - Henri Martin",0,Italie,,,,toile,,,attribution par l'office des biens et intérêts privés (MNR),1951.0,1500.0,1600.0,,0,True,1550.0,476.0,75.0,,1,,61-80,MNR Recovery
cl010052673,https://collections.louvre.fr/ark:/53355/cl010052673,Cavalier,Département des Peintures,,"Mirande (France), Musée des Beaux-Arts, salle d'exposition",0,Anonyme,Q4233718,,,bois,,,attribution par l'office des biens et intérêts privés (MNR),1951.0,1400.0,1500.0,,0,True,1450.0,576.0,75.0,,0,,61-80,MNR Recovery
cl010052674,https://collections.louvre.fr/ark:/53355/cl010052674,Enfant sur un cheval,Département des Peintures,,"Mirande (France), Musée des Beaux-Arts, salle d'exposition",0,Anonyme,Q4233718,,,bois,,,attribution par l'office des biens et intérêts privés (MNR),1951.0,1400.0,1500.0,,0,True,1450.0,576.0,75.0,,0,,61-80,MNR Recovery
cl010052675,https://collections.louvre.fr/ark:/53355/cl010052675,Scène de chasse (Panneau de cassone),Département des Peintures,,"Toulouse (France), Musée des Augustins, salle d'exposition",0,Anonyme,Q4233718,,,bois,,,attribution par l'office des biens et intérêts privés (MNR),1951.0,1440.0,1460.0,,0,True,1450.0,576.0,75.0,,0,,61-80,MNR Recovery
cl010052676,https://collections.louvre.fr/ark:/53355/cl010052676,Saint Dominique,Département des Peintures,,"Toulouse (France), Musée des Augustins, salle d'exposition",0,Anonyme,Q4233718,,,bois,,,attribution par l'office des biens et intérêts privés (MNR),1950.0,1500.0,1540.0,,0,True,1520.0,506.0,76.0,,0,,61-80,MNR Recovery
cl010052677,https://collections.louvre.fr/ark:/53355/cl010052677,Personnages dans des ruines,Département des Peintures,,non exposé,0,Anonyme,Q4233718,,,toile,,,attribution par l'office des biens et intérêts privés (MNR),1950.0,1600.0,1700.0,,0,True,1650.0,376.0,76.0,,0,,61-80,MNR Recovery
cl010052678,https://collections.louvre.fr/ark:/53355/cl010052678,Moine écrivant,Département des Peintures,,non exposé,0,Anonyme,Q4233718,,,toile,,,attribution par l'office des biens et intérêts privés (MNR),1951.0,1600.0,1700.0,,0,True,1650.0,376.0,75.0,,0,,61-80,MNR Recovery
cl010052679,https://collections.louvre.fr/ark:/53355/cl010052679,L'Immaculée Conception,Département des Peintures,,non exposé,0,Anonyme,Q4233718,,,toile,,,attribution par l'office des biens et intérêts privés (MNR),1950.0,1700.0,1800.0,,0,True,1750.0,276.0,76.0,,0,,61-80,MNR Recovery
cl010052680,https://collections.louvre.fr/ark:/53355/cl010052680,Adoration des Mages,Département des Peintures,,"Tarbes (France), Musée Massey",0,"Clerck, Hendrick de",Q2400396,,,bois,,,attribution par l'office des biens et intérêts privés (MNR),1951.0,1614.0,,,0,True,1614.0,412.0,75.0,,1,,61-80,MNR Recovery
cl010052681,https://collections.louvre.fr/ark:/53355/cl010052681,"La Vierge, l'Enfant, saint Jean l'Évangéliste et saint Jérome, triptyque",Département des Peintures,,"Tarbes (France), Musée Massey",0,"Coecke van Aelst, Pieter",Q434006,,,bois,,,attribution par l'office des biens et intérêts privés (MNR),1950.0,1500.0,1600.0,,0,True,1550.0,476.0,76.0,,1,,61-80,MNR Recovery
cl010052682,https://collections.louvre.fr/ark:/53355/cl010052682,Intérieur de palais,Département des Peintures,,non exposé,0,"Delen, Dirck van",Q711770,,,bois,,,attribution par l'office des biens et intérêts privés (MNR),1950.0,1626.0,,,0,True,1626.0,400.0,76.0,,1,,61-80,MNR Recovery
cl010052683,https://collections.louvre.fr/ark:/53355/cl010052683,"Flore, Pomone et Cérès",Département des Peintures,,"Auch (France), Musée des Amériques, salle d'exposition",0,Pays-Bas du Sud,,,,huile sur toile,,,attribution par l'office des biens et intérêts privés (MNR),1953.0,1600.0,1700.0,,0,True,1650.0,376.0,73.0,,1,,61-80,MNR Recovery
cl010052684,https://collections.louvre.fr/ark:/53355/cl010052684,Portrait de femme,Département des Peintures,,non exposé,0,Anonyme,Q4233718,,,bois,,,attribution par l'office des biens et intérêts privés (MNR),1950.0,1500.0,1600.0,,0,True,1550.0,476.0,76.0,,0,,61-80,MNR Recovery
cl010052685,https://collections.louvre.fr/ark:/53355/cl010052685,Scène de marché,Département des Peintures,,"Tarbes (France), Musée Massey",0,"Goubau, Antoon",Q4775777,,,toile,,,attribution par l'office des biens et intérêts privés (MNR),1951.0,1630.0,,,0,True,1630.0,396.0,75.0,,1,,61-80,MNR Recovery
cl010052686,https://collections.louvre.fr/ark:/53355/cl010052686,Vase de fleurs à la console,Département des Peintures,,non exposé,0,"Delacroix, Eugène",Q33477,,,toile,,,attribution par l'office des biens et intérêts privés (MNR),1950.0,1848.0,1850.0,,0,True,1849.0,177.0,76.0,,1,,61-80,MNR Recovery
cl010052687,https://collections.louvre.fr/ark:/53355/cl010052687,"Nina chantant la romance, dit aussi Femme à la mandoline",Département des Peintures,,non exposé,0,France,,,,toile,,,attribution par l'office des biens et intérêts privés (MNR),1951.0,1775.0,1825.0,,0,True,1800.0,226.0,75.0,,1,,61-80,MNR Recovery
cl010052688,https://collections.louvre.fr/ark:/53355/cl010052688,"Portrait présumé de Pascal François Boério, commissaire ordonnateur de division",Département des Peintures,,non exposé,0,France,,,,huile sur toile,,,attribution par l'office des biens et intérêts privés (MNR),1950.0,1798.0,,,0,True,1798.0,228.0,76.0,,1,,61-80,MNR Recovery
cl010052689,https://collections.louvre.fr/ark:/53355/cl010052689,Tête de Jupiter,Département des Peintures,,"Montauban (France), Musée Ingres-Bourdelle, salle d'exposition",0,France,,,,toile (agrandie sur bois),,,attribution par l'office des biens et intérêts privés (MNR),1950.0,1810.0,,,0,True,1810.0,216.0,76.0,,1,,61-80,MNR Recovery
cl010052690,https://collections.louvre.fr/ark:/53355/cl010052690,"Angélique, réplique d'atelier",Département des Peintures,,non exposé,0,France,,,,toile,,,attribution par l'office des biens et intérêts privés (MNR),1950.0,1800.0,1900.0,,0,True,1850.0,176.0,76.0,,1,,61-80,MNR Recovery
cl010052691,https://collections.louvre.fr/ark:/53355/cl010052691,Le Duc d'Albe à Sainte-Gudule à Bruxelles,Département des Peintures,,non exposé,0,France,,,,toile,,,attribution par l'office des biens et intérêts privés (MNR),1951.0,1815.0,,,0,True,1815.0,211.0,75.0,,1,,61-80,MNR Recovery
cl010052692,https://collections.louvre.fr/ark:/53355/cl010052692,La Paix,Département des Peintures,,non exposé,0,"Lépicié, Nicolas-Bernard",Q2468565,,,toile,,,attribution par l'office des biens et intérêts privés (MNR),1951.0,1772.0,,,0,True,1772.0,254.0,75.0,,1,,61-80,MNR Recovery
cl010052693,https://collections.louvre.fr/ark:/53355/cl010052693,Les Chiens savants,Département des Peintures,,"Auch (France), Musée des Amériques, salle d'exposition",0,"Watteau, Louis Joseph",Q2116026,,,toile,,,attribution par l'office des biens et intérêts privés (MNR),1950.0,1785.0,,,0,True,1785.0,241.0,76.0,,1,,61-80,MNR Recovery
cl010052694,https://collections.louvre.fr/ark:/53355/cl010052694,Portrait de femme à mi-corps,Département des Peintures,,"Tarbes (France), Musée Massey",0,Anonyme,Q4233718,,,bois,,,attribution par l'office des biens et intérêts privés (MNR),1950.0,1570.0,,,0,True,1570.0,456.0,76.0,,0,,61-80,MNR Recovery
cl010052695,https://collections.louvre.fr/ark:/53355/cl010052695,Présentation de l'Enfant Jésus au temple,Département des Peintures,,"Tarbes (France), Musée Massey",0,Anonyme,Q4233718,,,toile,,,attribution par l'office des biens et intérêts privés (MNR),1950.0,1700.0,1800.0,,0,True,1750.0,276.0,76.0,,0,,61-80,MNR Recovery
cl010052698,https://collections.louvre.fr/ark:/53355/cl010052698,"Paysage avec figures et animaux ; coucher du soleil, rentrée des bergers",Département des Peintures,,"Cahors (France), Musée de Cahors - Henri Martin",0,France,,,,toile,,,ancienne collection,,1700.0,1800.0,,0,False,1750.0,276.0,,,1,,,Historic Collection
cl010052699,https://collections.louvre.fr/ark:/53355/cl010052699,Saint Louis tenant les instruments de la passion,Département des Peintures,,"Albi (France), Préfecture du Tarn, salle d'exposition",0,Frère Luc,Q2977396,,,toile,,,entrée - Collection de Louis XV,,1600.0,1700.0,,0,False,1650.0,376.0,,,1,,,Other
cl010052700,https://collections.louvre.fr/ark:/53355/cl010052700,Vue du monument élevé à la mémoire de Henri IV dans la plaine d'Ivry,Département des Peintures,,"Toulouse (France), Hôtel du Commandement militaire (Palais Niel), salle d'exposition",0,"Bidauld, Jean Joseph Xavier",Q3166488,,,toile,,,commande de l'État,1822.0,1822.0,,,0,False,1822.0,204.0,204.0,,1,,100+,Other
cl010052702,https://collections.louvre.fr/ark:/53355/cl010052702,Vénus ramène Hélène à Pâris,Département des Peintures,,"Mirande (France), Musée des Beaux-Arts, salle d'exposition",0,"Bosio, Jean François",Q3172102,,,toile,,,entrée - Collection de Louis XVIII,1818.0,1800.0,1900.0,,0,False,1850.0,176.0,208.0,,1,,100+,Other
cl010052703,https://collections.louvre.fr/ark:/53355/cl010052703,Berger et bergère,Département des Peintures,,non exposé,0,"Boucher, François",Q180932,,,bois,,,legs,1869.0,1700.0,1800.0,,0,False,1750.0,276.0,157.0,,1,,100+,Bequest
cl010052705,https://collections.louvre.fr/ark:/53355/cl010052705,Sainte Famille,Département des Peintures,,non exposé,0,"Chalette, Jean",Q3171196,,,toile,,,achat,,1600.0,1700.0,,0,False,1650.0,376.0,,,1,,,Purchase
cl010052706,https://collections.louvre.fr/ark:/53355/cl010052706,Portrait de Jean Caulet,Département des Peintures,,"Toulouse (France), Musée des Augustins, salle d'exposition",0,"Chalette, Jean",Q3171196,,,toile,,,achat,1949.0,1635.0,,,0,False,1635.0,391.0,77.0,,1,,61-80,Purchase
cl010052707,https://collections.louvre.fr/ark:/53355/cl010052707,Portrait en pied du comte Clausel,Département des Peintures,,"Foix (France), Musée départemental de l'Ariège",0,"Champmartin, Émile Callande de",Q725327,,,toile,,,commande,,1832.0,,,0,False,1832.0,194.0,,,1,,,Other
cl010052711,https://collections.louvre.fr/ark:/53355/cl010052711,Pièta,Département des Peintures,,non exposé,0,"Smetz, Jacques",,,,toile,,,achat,,1700.0,1800.0,,0,False,1750.0,276.0,,,1,,,Purchase
cl010052712,https://collections.louvre.fr/ark:/53355/cl010052712,Nature morte au vase de fleurs,Département des Peintures,,"Auch (France), Musée des Amériques, salle d'exposition",0,"Smetz, Jacques",,,,toile,,,achat,,1736.0,,,0,False,1736.0,290.0,,,1,,,Purchase
cl010052713,https://collections.louvre.fr/ark:/53355/cl010052713,Nature morte aux poissons et cartes à jouer,Département des Peintures,,"Auch (France), Musée des Amériques, salle d'exposition",0,"Smetz, Jacques",,,,toile,,,achat,,1736.0,,,0,False,1736.0,290.0,,,1,,,Purchase
cl010052718,https://collections.louvre.fr/ark:/53355/cl010052718,Une Nymphe chasseresse sortant du bain.,Département des Peintures,,"Doullens (France), Musée Lombart",0,"Pallière, Léon",Q15275368,,,toile,,,entrée - Collection de Louis XVIII,1822.0,1817.0,,,0,False,1817.0,209.0,204.0,,1,,100+,Other
cl010052719,https://collections.louvre.fr/ark:/53355/cl010052719,Chasse à l'éléphant,Département des Peintures,,"Amiens (France), Musée de Picardie, salle d'exposition",0,France,,,,toile,,,entrée - Collection de Louis XIV,,1737.0,,,0,False,1737.0,289.0,,,1,,,Historic Collection
cl010052721,https://collections.louvre.fr/ark:/53355/cl010052721,Chasse au taureau sauvage,Département des Peintures,,"Amiens (France), Musée de Picardie, salle d'exposition",0,France,,,,toile,,,entrée - Collection de Louis XV,,1738.0,,,0,False,1738.0,288.0,,,1,,,Other
cl010052722,https://collections.louvre.fr/ark:/53355/cl010052722,Chasse à l'éléphant (esquisse),Département des Peintures,,non exposé,0,France,,,,toile,,,achat,,1738.0,,,0,False,1738.0,288.0,,,1,,,Purchase
cl010052723,https://collections.louvre.fr/ark:/53355/cl010052723,Chasse au taureau sauvage. Esquisse,Département des Peintures,,"Amiens (France), Musée de Picardie, salle d'exposition",0,France,,,,toile,,,achat,,1738.0,,,0,False,1738.0,288.0,,,1,,,Purchase
