object_id,title,artist_name,object_begin_date,object_end_date,painting_age,creation_year,height_cm,width_cm,area_cm2,accession_year,years_in_collection,artist_work_count,tag_count,is_public_domain,is_highlight,department,has_known_artist,primary_medium,support,nationality_group,acquisition_type,tag_men,tag_women,tag_landscapes,tag_portraits,tag_mountains,tag_trees,tag_flowers,tag_birds,tag_horses,tag_abstraction,tag_count.1,is_on_display,medium,culture,period,tags,gallery_number,credit_line,area_quartile,acquisition_encoded,collection_age_band,department_encoded,primary_medium_encoded,support_encoded,nationality_group_encoded,acquisition_type_encoded
35996,明   張翀   花鳥圖   扇面|Bird on a flowering branch,Zhang Chong,1570,1610,436.0,1590.0,16.5,48.9,806.85,1913.0,113.0,1,2,True,False,Asian Art,1,Ink,Paper,Chinese,Purchase/Fund,0,0,0,0,0,0,1,1,0,0,2,0,Folding fan mounted as an album leaf; ink on gold paper,China,Ming dynasty (1368–1644),Birds|Flowers,,"John Stewart Kennedy Fund, 1913",Q1 (smallest),3,100+,2,4,5,2,3
35998,明   佚名   倣邵彌   倣文徵明山水  扇頁|Landscape After Wen Zhengming,Shao Mi,1640,1640,386.0,1640.0,16.5,47.6,785.4,1913.0,113.0,1,1,True,False,Asian Art,1,Ink,Paper,Chinese,Purchase/Fund,0,0,1,0,0,0,0,0,0,0,1,0,Folding fan mounted as an album leaf; ink and color on gold-flecked paper,China,Ming dynasty (1368–1644),Landscapes,,"John Stewart Kennedy Fund, 1913",Q1 (smallest),3,100+,2,4,5,2,3
36000,明/清   莊冏生   山水   扇面|River Landscape,Zhuang Jiongsheng,1644,1676,366.0,1660.0,16.2,50.2,813.24,1913.0,113.0,1,2,True,False,Asian Art,1,Ink,Paper,Chinese,Purchase/Fund,0,0,1,0,0,0,0,0,0,0,2,1,Folding fan mounted as an album leaf; ink on gold paper,China,Qing dynasty (1644–1911),Rivers|Landscapes,212.0,"John Stewart Kennedy Fund, 1913",Q1 (smallest),3,100+,2,4,5,2,3
36001,明/清   文止   疏影橫斜   扇|Plum Blossoms,Wen Zhi,1670,1670,356.0,1670.0,16.5,50.2,828.3000000000001,1913.0,113.0,1,1,True,False,Asian Art,1,Ink,Paper,Chinese,Purchase/Fund,0,0,0,0,0,0,1,0,0,0,1,0,Folding fan mounted as an album leaf; ink and color on gold paper,China,Qing dynasty (1644–1911),Flowers,,"John Stewart Kennedy Fund, 1913",Q1 (smallest),3,100+,2,4,5,2,3
36002,清　吳山濤　山水圖　扇|Riverscape with moored boats,Wu Shantao,1667,1710,338.0,1688.0,15.9,47.3,752.0699999999999,1913.0,113.0,1,3,True,False,Asian Art,1,Ink,Paper,Chinese,Purchase/Fund,0,0,1,0,1,0,0,0,0,0,3,0,Folding fan mounted as an album leaf; ink on gold paper,China,Qing dynasty (1644–1911),Mountains|Landscapes|Boats,,"John Stewart Kennedy Fund, 1913",Q1 (smallest),3,100+,2,4,5,2,3
36004,元末明初 佚名牧羊圖團扇頁 絹本設色|Sheep and herd boy,Unidentified artist,1300,1399,676.0,1350.0,24.1,24.8,597.6800000000001,1913.0,113.0,0,2,True,False,Asian Art,0,Ink,Silk,Other,Purchase/Fund,0,0,0,0,0,0,0,0,0,0,2,0,Fan mounted as an album leaf; ink and color on silk,China,late Yuan (1271–1368)–early Ming (1368–1644) dynasty,Boys|Sheep,,"John Stewart Kennedy Fund, 1913",Q1 (smallest),3,100+,2,4,6,12,3
36005,"南宋  夏珪  山市晴嵐圖  冊頁|Mountain Market, Clearing Mist",Xia Gui,1200,1230,811.0,1215.0,24.8,21.3,528.24,1913.0,113.0,4,2,True,False,Asian Art,1,Ink,Silk,Chinese,Purchase/Fund,0,0,1,0,1,0,0,0,0,0,2,0,"Album leaf; ink on silk  
",China,Southern Song dynasty (1127–1279),Mountains|Landscapes,,"John Stewart Kennedy Fund, 1913",Q1 (smallest),3,100+,2,4,6,2,3
36006,,,1200,1279,786.0,1240.0,23.8,24.4,580.72,1913.0,113.0,0,1,True,False,Asian Art,0,Ink,Silk,Unknown,Purchase/Fund,0,0,0,0,0,0,0,0,0,0,1,1,Fan mounted as an album leaf; ink and color on silk,China,Southern Song dynasty (1127–1279),Narcissus,212.0,"John Stewart Kennedy Fund, 1913",Q1 (smallest),3,100+,2,4,6,16,3
36007,南宋  佚名  雪景待渡圖  團扇|Waiting for the Ferry,Unidentified artist,1200,1233,810.0,1216.0,25.1,25.7,645.07,1913.0,113.0,0,3,True,False,Asian Art,0,Ink,Silk,Other,Purchase/Fund,0,0,1,0,1,0,0,0,0,0,3,0,Fan mounted as an album leaf; ink on silk,China,Song dynasty (960–1279),Mountains|Landscapes|Snow,,"John Stewart Kennedy Fund, 1913",Q1 (smallest),3,100+,2,4,6,12,3
36008,明   佚名   觀音羅漢圖   扇|Guanyin and the sixteen luohans,Unidentified artist,1500,1644,454.0,1572.0,61.3,53.0,3248.8999999999996,1913.0,113.0,0,5,True,False,Asian Art,0,Ink,Silk,Other,Purchase/Fund,1,1,0,0,0,0,0,0,0,0,5,0,"Round fan mounted as an album leaf; ink, color, and gold on silk",China,Ming dynasty (1368–1644),Bridges|Men|Women|Buddhism|Bodhisattvas,,"John Stewart Kennedy Fund, 1913",Q2,3,100+,2,4,6,12,3
36009,,Unidentified artist,1167,1199,843.0,1183.0,24.4,23.8,580.72,1913.0,113.0,0,1,True,False,Asian Art,0,Ink,Silk,Other,Purchase/Fund,0,0,0,0,0,0,0,0,0,0,1,0,Fan mounted as an album leaf; ink on silk,China,Yuan dynasty (1271–1368) (?),Gibbons,,"John Stewart Kennedy Fund, 1913",Q1 (smallest),3,100+,2,4,6,12,3
36010,明  佚名  遊行天王圖  軸|Journey of the Tianwang (Devaradja),Unidentified artist,1500,1699,426.0,1600.0,121.3,52.7,6392.51,1913.0,113.0,0,2,True,False,Asian Art,0,Ink,Silk,Other,Purchase/Fund,1,0,0,0,0,0,0,0,0,0,2,0,Hanging scroll; ink and color on silk,China,Ming dynasty (1368–1644),Men|Elephants,,"John Stewart Kennedy Fund, 1913",Q3,3,100+,2,4,6,12,3
36011,明　佚名　舊傳夏珪　長江萬里圖　卷 (前半) |First half of Ten Thousand Li of the Yangzi River,Unidentified artist,1467,1499,543.0,1483.0,59.4,521.7,30988.980000000003,1913.0,113.0,0,2,True,False,Asian Art,0,Ink,Silk,Other,Purchase/Fund,0,0,1,0,1,0,0,0,0,0,2,0,Handscroll; ink and color on silk,China,Ming dynasty (1368–1644),Mountains|Landscapes,,"John Stewart Kennedy Fund, 1913",Q4 (largest),3,100+,2,4,6,12,3
36012,明 佚名 人物山水  軸|Scholar Admiring Autumn Scenery,Unidentified artist,1467,1533,526.0,1500.0,224.2,121.9,27329.98,1913.0,113.0,0,1,True,False,Asian Art,0,Ink,Silk,Other,Purchase/Fund,0,0,1,0,0,0,0,0,0,0,1,0,Hanging scroll; ink and color on silk,China,Ming dynasty (1368–1644),Landscapes,,"John Stewart Kennedy Fund, 1913",Q4 (largest),3,100+,2,4,6,12,3
36013,明   傳仇英   文玉圖	軸圖  軸|Lady in a Bamboo Grove,Qiu Ying,1495,1552,502.0,1524.0,124.5,44.5,5540.25,1913.0,113.0,5,2,True,False,Asian Art,1,Ink,Silk,Chinese,Purchase/Fund,1,1,0,0,0,0,0,0,0,0,2,0,Hanging scroll; ink and color on silk,China,Ming dynasty (1368–1644),Women|Bamboo,,"John Stewart Kennedy Fund, 1913",Q3,3,100+,2,4,6,2,3
36014,清 山水圖  軸|Landscape,Zhao Zuo,1630,1644,389.0,1637.0,148.0,66.4,9827.2,1913.0,113.0,2,2,True,False,Asian Art,1,Ink,Silk,Chinese,Purchase/Fund,0,0,1,0,1,0,0,0,0,0,2,0,Hanging scroll; ink on silk,China,Qing dynasty (1644–1911),Mountains|Landscapes,,"John Stewart Kennedy Fund, 1913",Q4 (largest),3,100+,2,4,6,2,3
36015,清   陳書   白鸚鵡圖   軸|Cockatoo,Chen Shu,1721,1721,305.0,1721.0,94.1,43.7,4112.17,1913.0,113.0,1,1,True,False,Asian Art,1,Ink,Paper,Chinese,Purchase/Fund,0,0,0,0,0,0,0,1,0,0,1,0,Hanging scroll; ink and color on paper,China,Qing dynasty (1644–1911),Birds,,"John Stewart Kennedy Fund, 1913",Q3,3,100+,2,4,5,2,3
36016,,Yun Shouping,1644,1690,359.0,1667.0,98.7,33.3,3286.71,1913.0,113.0,7,1,True,False,Asian Art,1,Ink,Paper,Chinese,Purchase/Fund,0,0,1,0,0,0,0,0,0,0,1,0,Hanging scroll; ink on paper,China,Qing dynasty (1644–1911),Landscapes,,"John Stewart Kennedy Fund, 1913",Q2,3,100+,2,4,5,2,3
36017,清    湯貽汾    山水圖    軸|Landscape,Tang Yifen,1845,1845,181.0,1845.0,116.8,27.3,3188.64,1913.0,113.0,3,2,True,False,Asian Art,1,Ink,Paper,Chinese,Purchase/Fund,0,0,1,0,1,0,0,0,0,0,2,0,Hanging scroll; ink on paper,China,Qing dynasty (1644–1911),Mountains|Landscapes,,"John Stewart Kennedy Fund, 1913",Q2,3,100+,2,4,5,2,3
36018,清   佚名   倣石濤   十六羅漢圖   卷|(Copy after) The Sixteen Luohans,Shitao (Zhu Ruoji),1800,1913,170.0,1856.0,49.8,634.4,31593.119999999995,1913.0,113.0,15,2,True,False,Asian Art,1,Ink,Paper,Chinese,Purchase/Fund,1,0,0,0,0,0,0,0,0,0,2,0,Handscroll; ink on paper,China,Qing dynasty (1644–1911),Men|Buddhism,,"John Stewart Kennedy Fund, 1913",Q4 (largest),3,100+,2,4,5,2,3
36019,明   佚名   傳文伯仁   山水圖   卷|Landscape,Wen Boren,1558,1558,468.0,1558.0,17.9,123.2,2205.2799999999997,1913.0,113.0,2,2,True,False,Asian Art,1,Ink,Paper,Chinese,Purchase/Fund,0,0,1,0,1,0,0,0,0,0,2,0,Handscroll; ink and color on paper,China,Ming (1368–1644)–Qing (1644–1911) dynasty,Mountains|Landscapes,,"John Stewart Kennedy Fund, 1913",Q2,3,100+,2,4,5,2,3
36020,明/清   佚名   傳馬麟   石榴白鳥圖   冊頁	|Pomegranates after Ma Lin,Ma Lin|Unidentified artist,1368,1911,386.0,1640.0,27.3,27.3,745.2900000000001,1913.0,113.0,1,2,True,False,Asian Art,1,Ink,Silk,Chinese,Purchase/Fund,0,0,0,0,0,0,0,1,0,0,2,0,Album leaf; ink and color on silk,China,Ming (1368–1644)–Qing (1644–1911) dynasty,Birds|Pomegranates,,"John Stewart Kennedy Fund, 1913",Q1 (smallest),3,100+,2,4,6,2,3
36021,明?   佚名   舊傳貫休   羅漢圖   軸|Luohan,Guanxiu,1400,1499,576.0,1450.0,117.8,47.0,5536.599999999999,1913.0,113.0,1,2,True,False,Asian Art,1,Ink,Silk,Chinese,Purchase/Fund,1,0,0,0,0,0,0,0,0,0,2,0,Hanging scroll; ink and color on silk,China,Ming dynasty (1368–1644),Men|Buddhism,,"John Stewart Kennedy Fund, 1913",Q3,3,100+,2,4,6,2,3
36022,明  顧懿德  倣王蒙玩月圖  軸|Enjoying the Moon: Landscape in the Manner of Wang Meng,Gu Yide,1368,1644,520.0,1506.0,154.9,46.4,7187.36,1913.0,113.0,1,2,True,False,Asian Art,1,Ink,Paper,Chinese,Purchase/Fund,0,0,1,0,1,0,0,0,0,0,2,0,Hanging scroll; ink and color on paper,China,Ming dynasty (1368–1644),Mountains|Landscapes,,"John Stewart Kennedy Fund, 1913",Q3,3,100+,2,4,5,2,3
36023,明  傳張路  溪畔漁家圖  軸|Fisherman and family,Zhang Lu,1500,1563,494.0,1532.0,110.2,81.0,8926.2,1913.0,113.0,2,4,True,False,Asian Art,1,Ink,Silk,Chinese,Purchase/Fund,1,1,0,0,0,0,0,0,0,0,4,0,Hanging scroll; ink and color on silk,China,Ming dynasty (1368–1644),Men|Women|Fishing|Boats,,"John Stewart Kennedy Fund, 1913",Q3,3,100+,2,4,6,2,3
36024,明   居節   石泉圖   軸|Recluse gazing at a waterfall,Ju Jie,1559,1559,467.0,1559.0,110.5,24.8,2740.4,1913.0,113.0,1,1,True,False,Asian Art,1,Ink,Paper,Chinese,Purchase/Fund,0,0,0,0,0,0,0,0,0,0,1,0,Hanging scroll; ink on paper,China,Ming dynasty (1368–1644),Waterfalls,,"John Stewart Kennedy Fund, 1913",Q2,3,100+,2,4,5,2,3
36025,清   佚名   倣吳歷   茂林草堂圖   軸|A Lodge in the Hills,Wu Li,1703,1703,323.0,1703.0,100.6,48.3,4858.98,1913.0,113.0,3,2,True,False,Asian Art,1,Ink,Paper,Chinese,Purchase/Fund,0,0,1,0,0,0,0,0,0,0,2,0,Hanging scroll; ink on paper,China,Qing dynasty (1644–1911),Hills|Landscapes,,"John Stewart Kennedy Fund, 1913",Q3,3,100+,2,4,5,2,3
36026,清 佚名 傳王文治  蘭亭修禊圖 軸|Spring Ablutions at the Orchid Pavilion,Wang Wenzhi,1644,1911,248.0,1778.0,43.8,49.5,2168.1,1913.0,113.0,1,3,True,False,Asian Art,1,Ink,Silk,Chinese,Purchase/Fund,0,0,1,0,0,0,0,0,0,0,3,0,Hanging scroll; ink and color on silk,China,Qing dynasty (1644–1911),Waterfalls|Landscapes|Streams,,"John Stewart Kennedy Fund, 1913",Q2,3,100+,2,4,6,2,3
36027,清  張庚  倣王蒙山水圖  軸|Landscape After Wang Meng,Zhang Geng,1759,1759,267.0,1759.0,124.5,40.6,5054.7,1913.0,113.0,1,2,True,False,Asian Art,1,Ink,Paper,Chinese,Purchase/Fund,0,0,1,0,1,0,0,0,0,0,2,0,Hanging scroll; ink and color on paper,China,Qing dynasty (1644–1911),Mountains|Landscapes,,"John Stewart Kennedy Fund, 1913",Q3,3,100+,2,4,5,2,3
36028,明   佚名   絹本設色   童子戯魚圖   軸|Children Playing,Unidentified,1500,1699,426.0,1600.0,95.3,64.1,6108.73,1914.0,112.0,0,0,True,False,Asian Art,0,Ink,Silk,Other,Gift,0,0,0,0,0,0,0,0,0,0,0,0,Hanging scroll; ink and color on silk,China,Ming dynasty (1368–1644),,,"Charles Stewart Smith Collection, Gift of Mrs. Charles Stewart Smith, Charles Stewart Smith Jr., and Howard Caswell Smith, in memory of Charles Stewart Smith, 1914",Q3,1,100+,2,4,6,12,1
36029,수월관음도 고려|水月觀音圖 高麗|Water-moon Avalokiteshvara,Unidentified artist,1300,1349,702.0,1324.0,114.5,55.6,6366.2,1914.0,112.0,0,3,True,True,Asian Art,0,Ink,Silk,Other,Gift,0,0,0,0,0,0,0,0,0,0,3,0,Hanging scroll; ink and color on silk,Korea,Goryeo dynasty (918–1392),Buddhism|Avalokiteshvara|Bodhisattvas,,"Charles Stewart Smith Collection, Gift of Mrs. Charles Stewart Smith, Charles Stewart Smith Jr., and Howard Caswell Smith, in memory of Charles Stewart Smith, 1914",Q3,1,100+,2,4,6,12,1
36030,明   沈碩   仿仇英文玉圖   軸|Lady in a Bamboo Grove after Qiu Ying,Shen Shuo,1544,1644,432.0,1594.0,118.1,49.5,5845.95,1916.0,110.0,1,2,True,False,Asian Art,1,Ink,Silk,Chinese,Gift,1,1,0,0,0,0,0,0,0,0,2,0,Hanging scroll; ink and color on silk,China,Ming dynasty (1368–1644),Women|Bamboo,,"Gift of John C. Ferguson, 1916",Q3,1,100+,2,4,6,2,1
36032,,Unidentified artist|Li Gonglin,1368,1644,520.0,1506.0,34.0,215.9,7340.6,1918.0,108.0,8,0,True,False,Asian Art,1,Ink,Silk,Other,Purchase/Fund,0,0,0,0,0,0,0,0,0,0,0,0,Handscroll; ink on silk,China,Ming dynasty (1368–1644) (?),,,"Rogers Fund, 1918",Q3,3,100+,2,4,6,12,3
36033,宋/元   佚名   百牛圖   卷|One hundred water buffalo,Unidentified artist|Jiangcan,1200,1299,776.0,1250.0,31.8,221.8,7053.240000000001,1918.0,108.0,1,2,True,False,Asian Art,1,Ink,Paper,Other,Purchase/Fund,0,0,1,0,0,0,0,0,0,0,2,0,Handscroll; ink on paper,China,Southern Song (1127–1279) or Yuan (1271–1368) dynasty,Buffalos|Landscapes,,"Rogers Fund, 1918",Q3,3,100+,2,4,5,12,3
36034,明  佚名  婦女肖像 圖   鏡面|Portrait of a Lady,Unidentified artist,1567,1633,426.0,1600.0,156.5,85.1,13318.15,1918.0,108.0,0,0,False,False,Asian Art,0,Ink,Silk,Other,Purchase/Fund,0,0,0,0,0,0,0,0,0,0,0,0,Framed painting; ink and color on silk,China,Ming dynasty (1368–1644),,,"Rogers Fund, 1918",Q4 (largest),3,100+,2,4,6,12,3
36035,,Wen Tong,1500,1599,476.0,1550.0,55.9,256.5,14338.35,1919.0,107.0,1,2,True,False,Asian Art,1,Ink,Silk,Chinese,Purchase/Fund,0,0,1,0,1,0,0,0,0,0,2,0,Handscroll; ink and color on silk,China,Ming dynasty (1368–1644),Mountains|Landscapes,,"Rogers Fund, 1919",Q4 (largest),3,100+,2,4,6,2,3
36036,,Jiang Tingxi,1724,1724,302.0,1724.0,113.0,60.3,6813.9,1922.0,104.0,1,2,True,False,Asian Art,1,Ink,Silk,Chinese,Gift,0,0,0,0,0,0,1,1,0,0,2,0,Framed scroll; ink and color on silk,China,Qing dynasty (1644–1911),Birds|Flowers,,"Gift of Mrs. Anna Woerishoffer, 1922",Q3,1,100+,2,4,6,2,1
36037,南宋  佚名  倣馬遠  松陰玩月圖  冊頁|Viewing the Moon under a Pine Tree,Ma Yuan,1200,1233,810.0,1216.0,25.4,25.4,645.16,1923.0,103.0,3,2,True,False,Asian Art,1,Ink,Silk,Chinese,Purchase/Fund,0,0,1,0,0,1,0,0,0,0,2,0,Album leaf; ink and color on silk,China,Southern Song dynasty (1127–1279),Landscapes|Trees,,"Rogers Fund, 1923",Q1 (smallest),3,100+,2,4,6,2,3
36039,明  佚名  柳馬圖  冊頁|Horse and Willow Tree,Unidentified artist,1400,1433,610.0,1416.0,25.7,22.9,588.53,1929.0,97.0,0,1,True,False,Asian Art,0,Ink,Silk,Other,Gift,0,0,0,0,0,0,0,0,1,0,1,1,Album leaf; ink and color on silk,China,Ming dynasty (1368–1644),Horses,210.0,"Gift of George D. Pratt, 1929",Q1 (smallest),1,81-100,2,4,6,12,1
